title,price,retailer_sku_code,urls,desc
Mandarin Yu Yee Oil 10ML,$2.20,prod-data-id81654,https://a4ucontent.blob.core.windows.net/images/0017031_0.png,"Mandarin Yu Yee <br/>
Oil <br/>
<span style=""color: grey;"">10ML</span> "
Mopiko Ointment 20G,$3.60,prod-data-id81647,https://a4ucontent.blob.core.windows.net/images/0017026_0.png,"Mopiko <br/>
Ointment <br/>
<span style=""color: grey;"">20G</span> "
Three Legs Tinea Solution 12ML,$1.70,prod-data-id82007,https://a4ucontent.blob.core.windows.net/images/0017302_0.png,Three Legs Tinea Solution 12ML 
Eno Lemon Fruit Salt 4.3G,$0.80,prod-data-id81979,https://a4ucontent.blob.core.windows.net/images/0017303_0.png,"Eno<br/>
Lemon Fruit Salt<br/>
<span style  =""color:grey""> 4.3G </span>"
Eno Orange Relieves Heatiness 100G,$4.70,prod-data-id81756,https://a4ucontent.blob.core.windows.net/images/0017297_0.png,Eno Orange Relieves Heatiness 100G 
Bactidol Mw 250ML,$8.60,prod-data-id26502,https://a4ucontent.blob.core.windows.net/images/0051433_0.png,"Bactidol Mouth Wash<br/>
(Relieves mouth ulcers and sore throats)<br/>
<span style=""color: grey;"">250ML</span>
"
Mei Wei Yuan Apple Vinegar 500ML,$3.25,prod-data-id38595,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"Mei Wei Yuan<br/>
Apple Vinegar<br/>
<span style =""color:grey""> 500ML </span>"
Panadol Cold Relief 12S,$7.95,prod-data-id125382,https://a4ucontent.blob.core.windows.net/images/0051228_0.png,"Panadol<br/>
Cold Relief<br/>
<span style=""color: grey;"">12S</span>"
Panadol Extra W Optizorb 20S,$7.50,prod-data-id126341,https://a4ucontent.blob.core.windows.net/images/0051229_0.png,"Panadol Extra<br/>
(With Optizorb)<br/>
<span style=""color: grey;"">20S</span>"
SCOTT'S Emulsion Orange 2X400ML+C/BOOK,$18.80,prod-data-id125974,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"SCOTT'S<br/>
Emulsion Orange +C/BOOK<br/>
<span style =""color:grey""> 2X400ML"
Panadol Acti Fast 16 Caplets,$7.15,prod-data-id81642,https://a4ucontent.blob.core.windows.net/images/0043871_0.png,"Panadol<br/> 
Acti Fast 16S"
